GO	GENE	CLASS
GO:0045454	NCU00974	BP
GO:0016021	NCU01852	CC
GO:0015103	NCU01852	MF
GO:0015297	NCU01852	MF
GO:0016020	NCU01852	CC
GO:0046983	NCU01871	MF
GO:0022857	NCU01882	MF
GO:0055085	NCU01882	BP
GO:0016020	NCU01882	CC
GO:0022857	NCU01882	MF
GO:0055085	NCU01882	BP
GO:0016020	NCU01882	CC
GO:0003824	NCU01888	MF
GO:0000160	NCU01895	BP
GO:0000160	NCU01895	BP
GO:0016020	NCU01912	CC
GO:0006493	NCU01912	BP
GO:0000030	NCU01912	MF
GO:0016020	NCU01912	CC
GO:0016020	NCU01912	CC
GO:0006493	NCU01912	BP
GO:0000030	NCU01912	MF
GO:0016020	NCU01912	CC
GO:0042025	NCU01924	CC
GO:0008270	NCU01924	MF
GO:0000981	NCU01924	MF
GO:0006355	NCU01924	BP
GO:0005515	NCU01926	MF
GO:0006886	NCU01927	BP
GO:0006886	NCU01927	BP
GO:0050483	NCU01945	MF
GO:0006190	NCU01945	BP
GO:0009117	NCU01945	BP
GO:0000287	NCU01945	MF
GO:0045895	NCU01958	BP
GO:0008301	NCU01958	MF
GO:0005634	NCU01958	CC
GO:0007531	NCU01958	BP
GO:0045895	NCU01958	BP
GO:0008301	NCU01958	MF
GO:0005634	NCU01958	CC
GO:0007531	NCU01958	BP
GO:0004518	NCU01961	MF
GO:0006281	NCU01961	BP
GO:0003677	NCU01961	MF
GO:0006281	NCU01961	BP
GO:0004519	NCU01961	MF
GO:0003677	NCU01961	MF
GO:0004519	NCU01961	MF
GO:0006281	NCU01961	BP
GO:0003677	NCU01961	MF
GO:0006281	NCU01961	BP
GO:0004519	NCU01961	MF
GO:0003677	NCU01961	MF
GO:0004519	NCU01961	MF
GO:0006281	NCU01961	BP
GO:0004518	NCU01961	MF
GO:0006281	NCU01961	BP
GO:0005751	NCU01962	CC
GO:0004129	NCU01962	MF
GO:0005743	NCU01962	CC
GO:0005751	NCU01962	CC
GO:0004129	NCU01962	MF
GO:0005743	NCU01962	CC
GO:0005840	NCU01966	CC
GO:0003735	NCU01966	MF
GO:0006412	NCU01966	BP
GO:0006412	NCU01966	BP
GO:0003676	NCU01976	MF
GO:0022857	NCU01977	MF
GO:0016020	NCU01977	CC
GO:0055085	NCU01977	BP
GO:0022857	NCU01977	MF
GO:0016020	NCU01977	CC
GO:0055085	NCU01977	BP
GO:0032979	NCU01983	BP
GO:0005743	NCU01983	CC
GO:0003700	NCU01994	MF
GO:0006355	NCU01994	BP
GO:0008168	NCU02034	MF
GO:0005669	NCU02052	CC
GO:0000155	NCU02057	MF
GO:0007165	NCU02057	BP
GO:0000160	NCU02057	BP
GO:0016772	NCU02057	MF
GO:0016310	NCU02057	BP
GO:0007165	NCU02057	BP
GO:0000155	NCU02057	MF
GO:0005515	NCU02057	MF
GO:0000160	NCU02057	BP
GO:0016772	NCU02057	MF
GO:0016310	NCU02057	BP
GO:0007165	NCU02057	BP
GO:0000155	NCU02057	MF
GO:0005515	NCU02057	MF
GO:0000155	NCU02057	MF
GO:0007165	NCU02057	BP
GO:0042025	NCU02094	CC
GO:0008270	NCU02094	MF
GO:0000981	NCU02094	MF
GO:0006355	NCU02094	BP
GO:0042025	NCU02094	CC
GO:0008270	NCU02094	MF
GO:0000981	NCU02094	MF
GO:0006355	NCU02094	BP
GO:0008193	NCU02105	MF
GO:0006400	NCU02105	BP
GO:0000287	NCU02105	MF
GO:0016787	NCU02124	MF
GO:0016787	NCU02124	MF
GO:0016491	NCU02128	MF
